Username,Comment,Like
ansarnurjamas5799,"['izin', 'tanya', 'bang', 'sandika', 'fresh', 'graduate', 'terus', 'kerja', 'jadi', 'fullstack', 'developer', 'masa', 'kuliah', 'sering', 'ngulik2', 'laravel', 'sendiri', 'paham', 'semua', 'struktur', 'laravel', 'fungsi', 'apa', 'nah', 'semenjak', 'dunia', 'kerja', 'lebih', 'suka', 'pakai', 'ai', 'buat', 'coding', 'jadi', 'cuman', 'taruh', 'logika', 'ai', 'copas', 'code', 'nya', 'ai', 'bang', 'sandika', 'bagaimana']",1
cartoonchanger,"['inti', 'paham', 'dulu', 'teknis', 'nya', 'lalu', 'pakai', 'ai', 'tools', 'benar', 'paham', 'teknis', 'cara', 'develop', 'bakal', 'aman']",0
pitriyanii5n,"['biar', 'biar', 'saing', 'kurang']",0
indrawandev,"['gue', 'benci', 'vibe', 'coding']",0
aiyubcj9pz,"['coba', 'riview', 'cortex', 'bang']",0
momoh7888,"['betul', 'mula', 'vibe', 'coding', 'jadi', 'racun', 'manisbrkayak', 'asih', 'lamborghini', 'orang', 'baru', 'ajar', 'nyetirkecepatan', 'tinggi', 'fondasi', 'bikin', 'nabrak', 'duluanbrbrai', 'bikin', 'semua', 'lihat', 'mudah', 'tinggal', 'bilangbrbrgt', 'bikin', 'dashboard', 'minimal', 'aesthetic', 'kayak', 'cahaya', 'pagi', 'pegununganbrbrbrbrboom', 'jadibrbrmasalahnyabrpemula', 'jadi', 'ajar', 'kerja', 'tahu', 'apa', 'ketik', 'aibrbegitu', 'bug', 'kecil', 'ambyar', 'kompas', 'navigasibrbrada', 'tiga', 'masalah', 'besar', 'buat', 'pemulabrbr1', 'lewat', 'proses', 'paham', 'sistembrbelajar', 'coding', 'bukan', 'cuma', 'buat', 'erti', 'jadi', 'ai', 'hilang', 'rasa', 'sakit', 'jadi', 'pembelajaranbrbrbr2', 'bentuk', 'taste', 'teknisbrvibe', 'coding', 'ai', 'fokus', 'rasa', 'hasil', 'mula', 'punya', 'tastejadi', 'ikut', 'vibe', 'ai', 'bukan', 'vibe', 'sendiribrbrbr3', 'gantung', 'ekstrembrbegitu', 'ai', 'salah', 'bingung', 'baik', 'mana', 'punya', 'mental', 'peta', 'logikabrbrbrbrvibe', 'coding', 'powerful', 'buat', 'orang', 'punya', 'dasar', 'intuisi', 'teknisbruntuk', 'mula', 'vibe', 'coding', 'sering', 'menjadibrbrgt', 'tahu', 'apa', 'laku', 'ai', 'seperti', 'tahubrbrbrbrpadahal', 'ai', 'punya', 'konteksbrai', 'prediksi', 'kalimat', 'ikut', 'bukan', 'paham', 'struktur', 'program', 'penuhbrbrpemula', 'butuh', 'masamasa', 'jungkir', 'balikbrconsolelog', 'ujung', 'error', 'hina', 'harga', 'diri', 'insomnia', 'garagara', 'semicolon', 'ilangbrbrkarena', 'situ', 'bentuk', 'akal', 'sistematisbrbrkalau', 'fondasi', 'vibe', 'coding', 'rawabrkalau', 'fondasi', 'kokoh', 'vibe', 'coding', 'sayapbrbrjadi', 'kesimpulannyabrbr', 'mula', 'fokus', 'dasar', 'dulubr', 'paham', 'vibe', 'coding', 'cepat', 'kreativitasbrbrvibe', 'coding', 'bukan', 'ganti', 'pemahamanbrvibe', 'coding', 'panjang', 'rasabrbryang', 'bahaya', 'bukan', 'ainya', 'ego', 'buat', 'orang', 'lewat', 'pondasibrbrbikin', 'program', 'bikin', 'hidup', 'kecilbrlo', 'tahu', 'anatomi', 'lo', 'minta', 'ai', 'buat', 'monster', 'eleganbrbrkalau', 'suatu', 'hari', 'lo', 'vibe', 'coding', 'tenang', 'bukan', 'ai', 'hebatbrtapi', 'dasar', 'lo', 'kokohbrbrdan', 'lucunyabryang', 'punya', 'taste', 'paling', 'kuattetap', 'menang']",0
hilaaml,"['sekarang', 'semester', '5', 'aku', 'sadar', 'kalo', 'aku', 'vibe', 'coder', 'jujur', 'susah', 'banget', 'lepas', 'selalu', 'jadi', 'cepat', 'fungsional', 'jalan', 'kira', 'kira', 'bagaimana', 'stop', 'mau', 'review', 'materi', 'kadang', 'rasa', 'waktu', 'mepet']",0
dikobagdaanggara,"['lebih', 'tuju', 'pendapatpendapat', 'mantan', 'engineer', 'big', 'tech', 'google', 'meta', 'quit', 'programming', 'now', 'ai', 'sekarang', 'just', 'beginning', 'next', '35', 'years', 'mungkin', 'ai', 'buat', 'variantvariant', 'lain', 'sendiri']",0
wavefunktion,"['dulu', 'ngegym', 'codewar', 'ai', 'muncul']",0
budirachmatkurniawan,"['pilih', 'mau', 'jadi', 'hulk', 'jadi', 'ironman']",0
digitaledunesia,"['kalau', 'jujur', 'nih', 'pak', 'ai', 'lebih', 'bantu', 'jelasin', 'dosen', 'dosen', 'asih', 'materi', 'dasar', 'terus', 'hilang', 'justru', 'jadi', 'lebih', 'pengin', 'tau', 'teknologi', 'baru', 'cara', 'terap', 'tentu', 'jelasin', 'project', 'ambis', 'akhir', 'bangun', 'jaring', 'blockchain', 'sangat', 'bantu', 'enggak pernah', 'ajar', 'kalo', 'projectproject', 'komersil', 'mah', 'serius', 'bahkan', 'kalo', 'kodingan', 'eror', 'kasih', 'ai', 'kok', 'salah', 'marahin', 'bukan', 'eror', 'abistu', 'cek', 'saran', 'oiya', 'nyata', 'eror', 'bukan', 'fatal', 'jadi', 'enggak', 'lihat', 'kasat', 'mata']",0
digitaledunesia,"['banyak', 'ajar', 'ai', 'guna', 'framework', 'awalny', 'memang', 'enggak pernah', 'ajar', 'bang', 'kuliah']",0
imafoxs,"['gue', 'yakin', 'lu', 'omong', 'begini', 'nyontek', 'prompter', 'script', 'nya', 'ditulisin', 'ai']",0
affandiarc,"['bias', 'logic', 'kalo', 'rada', 'sedikit', 'advance', 'sebal', 'ai']",0
ladangprogramming,"['ai', 'bantu', 'bukan', 'jadi', 'alat', 'utama']",0
asdsadqw4yhytiujtyu6asdas53,"['tuju', 'banget', 'pak', 'dosen', 'dunia', 'kerja', 'banyak', 'rekan', 'kerja', 'pakai', 'vibe', 'coding', 'waduh', 'bikin', 'pusing', 'deh', 'apa', 'kalau', 'bug', 'debugging', 'ngerjain', 'enggak', 'erti', 'guna', 'apa', 'nama', 'variabel', 'enggak', 'jelas', 'halhal', 'sederhana', 'jadi', 'kompleks', 'sangat', 'sebal', 'pesan', 'senior', 'mula', 'sila', 'guna', 'ai', 'jangan', 'jadi', 'ai', 'ganti', 'ngoding', 'jadi', 'support', 'system', 'misal', 'jadi', 'ai', 'alat', 'bantu', 'cari', 'dokumentasi', 'suatu', 'library', 'kalian', 'baca', 'banyak', 'dokumentasi', 'lebih', 'baik', 'ai', 'tanya', 'dokumentasi', 'bukan', 'kalian', 'copy', 'and', 'paste', 'codingan', 'kalian', 'ai', 'terus', 'minta', 'lalu', 'kalian', 'oke', 'oke', 'erti', 'apa', 'kerja', 'bug', 'perlu', 'optimisasi', 'kalian', 'bingung']",0
kkagoenk,"['iya', 'sih', 'gara-gara', 'ai', 'jadi', 'jarang', 'mampir', 'stackoverflow']",0
ranggakd,"['mungkin', 'bilang', 'contoh', 'analogi', 'gym', 'istilah', 'sekitar', 'enggak', 'terlalu', 'cocok', 'banding', 'learning', 'curve', 'ajar', 'lalu', 'vibe', 'codingbrbrterlebih', 'enggak', 'terlalu', 'inklusif', 'analogi', 'orang', 'workout', 'gym', 'paham', 'analogi', 'ironman', 'indak', 'terlalu', 'realistis', 'relatable']",0
sandhikagalihwpu,"['brbrtidak', 'apa', 'memang', 'bahagia', 'semua', 'orang']",0
alimahrusyusa9256,"['pakai', 'ai', 'cuma', 'buat', 'tanya', 'auto', 'complete', 'bantu', 'cepat', 'etik']",0
masbraychanel765,"['lebih', 'bagus', 'problem', 'solving', 'sih', 'jangan', 'jadi', 'joki', 'wkwkwkw', 'asa', 'banget', 'sesuai', 'alam', 'pribadi', 'wkwkw', 'jadi', 'tumpul', 'skil', 'nya', 'balas', 'dendam', 'sama', 'diri', 'sendiri', 'kuatin', 'fundamental', 'sama', 'sekali', 'ajar', 'jadi', 'ai', 'engineer']",0
wiiklyid,"['vibe', 'coding', 'cocok', 'mau', 'cepat', 'kenal', 'sama', 'basic', 'suatu', 'framework', 'bahasa', 'tonton', 'video', 'crash', 'course']",0
nuelstill3540,"['kak', 'daftar', 'baru', 'dunia', 'coding', 'tau', 'nih', 'html', 'php', 'css', 'js', 'sepenuh', 'lengkap', 'materi', 'daftar']",0
ipiptr,"['vibe', 'coding', 'kalo', 'dunia', 'kerja', 'konsultanenterprise', 'minimal', 'fundamental', 'bagusbrjangan', 'pas', 'klien', 'on', 'site', 'suruh', 'benerin', 'aplikasi', 'enggak', 'tanya', 'ai', 'malah', 'bengong', 'kayak', 'orang', 'begobrpadahal', 'casenya', 'cuma', 'perlu', 'nambahin', 'flag', 'asyik', 'vibe', 'coding', 'jadi', 'lupa', 'bisnis', 'requirement', 'nyabrlebih', 'parah', 'enggak', 'edit', 'kodingan', 'sendiri', 'buat', 'full', 'ai', 'konsep', 'ai', 'enggak', 'tolong', 'sih', 'tinggal', 'tunggu', 'stres', 'minta', 'resign', 'ingat', 'manusia', 'nyetir', 'ai', 'kalo', 'balik', 'bego', 'nama']",0
chiper007,"['tuju', 'buat', 'guna', 'ai', 'llm', 'lebih', 'tepat', 'sebaga', 'teman', 'ajar', 'tutor', 'training', 'data', 'pakai', 'internet', 'banyak', 'salah', 'misinformasi', 'kurang', 'audit', 'creatorbrbrjika', 'guna', 'llm', 'buat', 'ajar', 'guna', 'tahu', 'kalau', 'hasil', 'beri', 'benar', 'orang', 'ajar', 'tahu', 'topik', 'bicara', 'milik', 'mental', 'model', 'konteks', 'paham', 'informasi', 'llm', 'kasih', 'informasi', 'salah', 'ajar', 'efektif', 'jsutru', 'buang', 'waktubrbrkarena', 'buat', 'nilai', 'output', 'llm', 'guna', 'jadi', 'expert', 'ahli', 'lebih', 'bidang', 'quotmempunyai', 'hak', 'vibe', 'codingquot', 'orang', 'ajar', 'llm', 'jadi', 'expert', '10', 'menit', 'vibe', 'coding', 'makanya', 'lebih', 'baik', 'saran', 'teman', 'ajar', 'komunitas', 'banding', 'ajar', 'sama', 'chatbot', 'brbrreferenci', 'kupakaibra', 'hrefhttpswwwyoutubecomwatchveuroxh0leeampt356httpsyoutubeeuroxh0leesiqi5c9xicudnn9zzampt356a']",0
sandhikagalihwpu,"['konteks', 'video', 'ajar', 'fundamentaldasar2', 'programming', 'aillm', 'guna', 'tutorteman', 'ajar']",0
deviardiana2880,"['basic', 'apa']",0
winartoit,"['minta', 'ai', 'bikin', 'coding', 'a', 'nyus', 'jalan', 'lancar', 'jaya', 'takjub', 'tiba', 'tiba', 'bug', 'bengong', 'bagaimana', 'baik']",0
dediananto,"['benar', 'banget', 'kalimat', '39kuatin', 'pondasi39', 'enggak', 'suka', 'malah', 'heran', 'beberapa', 'individu', 'bangga', 'share', 'hasil', 'kerja', 'kerja', 'ai', 'sosmed', 'linkedin', 'bahkan', 'banyak', 'tulis', 'selesai', '1', '2', 'hari', 'bahkan', 'hitung', 'jam', 'laku', 'beri', 'perintah', 'benarbenar', 'tau', 'bagaimana', 'code', 'dalam', 'project', 'sebut', 'jalan', 'niat', 'buat', 'ningkatin', 'brandingan', 'programmer', 'malah', 'turun', 'kata', 'pak', 'dika', 'benar', 'pakai', 'ai', 'manfaat', 'harus', 'lebih', 'partner', 'menvalidasi', 'buat', 'project', 'nya', 'sendiri', 'kemudian', 'issue', 'minta', 'ai', 'menganalisa', 'bugpotensi', 'issue', 'jadi', 'fundamental', 'penting', 'banget', 'bahasa', 'pemrograman', 'punya', 'flow', 'nya', 'masing-masing', 'jangan', 'erti', 'if', 'switch', 'for', 'while', 'php', 'terus', 'enteng', 'bilang', 'kerja', 'project', 'bas', 'go', 'nanti', 'cuman', 'laku', 'vibe', 'coding', 'entar', 'issue', 'bingung', 'deh', 'terus', 'waktu', 'mau', 'benerin', 'bingung', 'kalo', 'pakai', 'mindset', 'bahasa', 'pemrograman', 'belum', 'php', 'tinggal', 'aku', 'kasih', 'default', 'value', 'argument', 'functionnya', 'nah', 'terus', 'waktu', 'mau', 'nerapin', 'go', 'enggak', 'jadi', 'please', 'tementemen', 'ajar', 'dulu', 'fundamental', 'kalo', 'habis', 'biasa', 'erti', 'lah', 'pakai', 'ai', 'buat', 'ningkatin', 'produktivitas', 'cepat', 'development']",0
rakannaufalihsan8071,['bankai'],0
muhammadnasrullahho4of,"['pernah', 'lihat', 'wpu', 'course', 'bapak', 'laptop', 'teman', 'isi', 'sangat', 'bagus', 'teman', 'ajar', 'bikin', 'aplikasi', 'jadi', 'berbulan2', 'ajar', 'youtube', 'banyak', 'sulit', 'moga', 'rejeki', 'ikut', 'wpu', 'course']",1
ahmadhapiz7262,"['masuk', 'praktisi', 'sering', 'laku', 'vibe', 'coding', 'memang', 'bahaya', 'buat', 'benar', 'benar', 'mula', 'enggak', 'faham', 'fundamental', 'best', 'oracticenya', 'istilah', 'istilah', 'dunia', 'coding', 'dunia', 'terus', 'kembang', 'akhir', 'geser', 'metode', 'orang', 'programmer', 'kerja', 'kerja', 'bukan', 'ajar', 'kalau', 'vibe', 'coding', 'tuh', 'cocok', 'tentu', 'punya', 'planning', 'matang', 'tau', 'step', 'by', 'step', 'erti', 'insilah', 'best', 'oracticenya']",0
yosuajuliando,"['sederhana', 'bagaimana', 'tau', 'programmer', 'lama', 'programmer', 'instan', 'lihat', 'struktur', 'projectnya', 'kalau', 'enggak', 'punya', 'fundamental', 'enggak', 'pernah', 'bikin', 'project', 'belum', 'cendrung', 'ditumpuktumpuk', 'campur', 'adukaduk', 'sakaratul', 'maut']",0
bembengid,"['tuju', 'pak', 'vibe', 'coding', 'cuma', 'bagus', 'task', 'iterasi', 'iterasi', 'pertama', 'dua', 'wajib', 'buat', 'telah', '345', 'baru', 'pakai', 'ai', 'misal', 'bikin', 'crud', 'table', 'awal', 'bikin', 'next', 'table', 'pattern', 'sama', 'bagus', 'pakai', 'ai', 'cepat', 'kerja', 'kitabrbrvibe', 'code', 'cocok', 'banget', 'buat', 'tahap', 'akhir', 'code', 'rasa', 'oke', 'lalu', 'malas', 'bikin', 'unit', 'test', 'bikin', '12', 'unit', 'test', 'sendiri', 'coverage', 'bikin', '80', 'tinggal', 'suruh', 'lanjut', 'task', 'lain', 'senior', 'justru', 'budak', 'ai', 'kalau', 'junior', 'kalian', 'budak', 'ai']",1
zikriirfandi,"['senang', 'vibe', 'coding', 'serasa', 'punya', 'asisten', 'junior', 'programmer', 'puinter', 'banget']",0
semutmerah2819,"['kantor', 'gue', 'anak', 'baru', 'baru', 'lulus', 'smk', 'ngakunya', 'jago', 'react', 'bukti', 'porto', 'nya', 'pas', 'produksi', 'gue', 'perhati', 'chat', 'gpt', 'terus', 'pagi', 'sore', 'generate', 'code', 'full', 'gpt', 'pas', 'mentok', 'terus', 'tanya', 'gue', 'nah', 'gue', 'minta', 'tunjuk', 'code', 'nya', 'malah', 'enggak', 'erti', 'sama', 'kode', 'sendiri', 'maksud', 'gpt', 'memang', 'bagus', 'buat', 'ganti', 'stack', 'overflow', 'bukan', 'buat', 'generate', 'full', 'code', 'bahaya', 'banget', 'abang', 'jaman', 'now']",0
rizalnurhidayat,"['experience', 'pakai', 'ai', 'alat', 'bantu', 'bikin', 'aplikasi', 'memang', 'luar', 'biasa', 'senang', 'bantu', 'asih', 'jelas', 'alurcara', 'kerja', 'suatu', 'modul', 'library', 'functionmethod', 'kasih', 'rekomendasi', 'librarymodul', 'sesuai', 'bahkan', 'bantu', 'debugging', 'ringan', 'memang', 'kalau', 'enggak', 'punya', 'pondasi', 'logika', 'benar', 'enggak', 'rajin', 'baca', 'dokumentasi', 'library', 'pakai', 'jerumus', 'hasil', 'ai', 'enggak', '100', 'benar', 'kadang', 'keliru', 'asih', 'solusi', 'baris', 'kode', 'tips', 'ajak', 'diskusi', 'ai', 'kasih', 'tau', 'detail', 'kondisi', 'ingin', 'kondisi', 'buat', 'ai', 'jadi', 'macam', 'asisten', 'bantu', 'proses', 'bukan', 'rujuk', 'utamabrbrsejauh', 'pakai', 'tools', 'gratis', 'bawa', 'microsoft', 'copilot', 'bantu', 'cepat', 'proses', 'buat', 'aplikasi', '30', 'lebih', 'cepat', 'browsing', 'manual', 'enggak', 'bayang', 'kalau', 'pakai', 'tools', 'ai', 'bayar', 'cepat', 'apa', 'proses', 'buat', 'aplikasi']",0
garamdapur2093,"['bukan', 'programmer', 'kerja', 'jauh', 'programming', 'ada', 'cibe', 'coding', 'agentic', 'tools', 'sekarang', 'banyak', 'banget', 'sangat', 'bangkit', 'passion', '10', 'tahu', 'lalu', 'enggak', 'lolos', 'jurus', 'kait', 'ptn', 'nama', 'ai', 'sekarang', 'sangat', 'mudah', 'orang', 'masuk', 'dunia', 'programming', 'meski', 'paham', 'sepenuh', 'lambat', 'laum', 'rasa', 'kesana', 'penting', 'problem', 'solvingnya', 'bulan', 'akhir', 'ngulik2', 'banyak', 'ai', 'service', 'bayar', 'claude', 'code', 'codex', 'grok', 'open', 'sources', 'open', 'router', 'cloud', 'service', 'lain', 'ajar', 'banyak', 'mulai', 'bagaimana', 'ngebangun', 'apps', 'minimal', 'jadi', 'mvp', 'cara', 'guna', 'agentic', 'tools', 'mcp', 'server', 'tuju', 'mungkin', 'enggak', 'cocok', 'mula', 'kerja', 'cari', 'hidup', 'dunia', 'programming', 'buat', 'kerja', 'ngjalannin', 'agentic', 'ai', 'hobby', 'project', 'sekarang', 'sangat', 'bantu', 'bangun', 'apps', 'ingin', 'butuh', 'lebih', 'cepat']",3
khusnulrevo4319,"['ai', 'cuma', 'buat', 'teman', 'samping', 'buat', 'coding', 'jadi', 'banyak', 'pandang', 'arsitektur', 'sistem', 'buat', 'eksekusi', 'jelas', 'tau', 'apa', 'buat', 'detail', 'mingkin', 'brbrpengalaman', 'guna', 'ai', 'pro', 'bayar', 'mahal', 'sekalipun', 'create', 'code', 'buat', 'batasan2', 'arsitektur', 'ingin', 'hasil', 'zonk', 'eror', 'semua']",0
ceceparisafandiandi,"['thank', 'you', 'coach', 'great', 'and', 'simple', 'analogy', 'brwhile', 'i', 'sama', 'learning', 'data', 'science', 'and', 'decide', 'change', 'my', 'approach', 'brreadingpractice', 'practice', 'reading']",0
csteveniburga8970,"['bang', 'pin', 'comment', 'baru', 'brai', 'mungkin', 'cuma', 'tools', 'buat', 'bantu', 'coding', 'jangan', 'lupa', 'flashback', '2', 'tahun', 'lalu', 'progress', 'ai', 'coding', 'sih', 'the', 'differents', 'progress', 'nya', 'sangat', 'exponensial', 'baru', 'brterlebih', 'bocor', 'gemini', '30', 'grok', '5', 'glm', '5', 'rilis', 'akhir', 'tahun', 'tambah', 'bakal', 'gebrak', 'luar', 'biasa', 'tengah', 'tahun', '2026', 'apa', 'agi', 'bukan', 'asumsi', 'tahun', 'depan', 'bakal', 'rilis', 'teaser', 'video', 'mampu', 'agi', 'meski', 'tahap', 'uji', 'coba', 'beta', 'bahaya', 'oiya', 'jelas', 'agi', 'bintang', 'laut', 'cuma', 'beda', 'kalau', 'bintang', 'laut', 'regenerasi', 'nyawa', 'kalo', 'agi', 'ajar', 'baik', 'salah', 'sendiri', 'kalau', 'agi', 'full', 'rilis', 'public', 'bubble', 'ai', 'bubble', 'crypto', 'finansial', 'bukan', 'cuma', 'dar', 'ramal', 'bencana', 'nyata', 'baru', 'brdampaknya', 'apa', 'ekonomi', 'global', 'jelas', 'banyak', 'phk', 'massal', 'bagai', 'sektor', 'industri', 'paling', 'gencar', 'kena', 'dampak', 'phk', 'bidang', 'baru', 'brgimana', 'cara', 'ngebendung', 'baru', 'brsuruh', 'semua', 'orang', 'henti', 'pakai', 'ai', 'henti', 'koreksi', 'salah', 'ai', 'baru', 'br1', 'makin', 'kalian', 'sering', 'pakai', 'ai', 'terus', 'improve', 'lalu', 'dataset', 'history', 'cakap', 'kalian', 'guna', 'platform', 'ai', 'openaigoogle', 'grok', 'meski', 'bilang', 'data', 'enggak', 'ditraining', 'ingat', 'enggak', 'gratis', 'dunia', 'kalaupun', 'arti', 'jual', 'guna', 'gratis', 'kalau', 'bukan', 'history', 'cakap', 'pakai', 'latih', 'ai', 'baru', 'br2', 'henti', 'koreksi', 'salah', 'ai', 'lho', 'bagaimana', 'cara', 'nya', 'bukan', 'gua', 'enggak', 'pernah', 'kirim', 'feedback', 'kalo', 'salah', 'prompt', 'kok', 'koreksi', 'salah', 'ai', 'oiya', 'jelas', 'contoh', 'video', 'puluh', 'ribu', 'video', 'youtube', 'masuk', 'artikel', 'maupun', 'postinganpostingan', 'bagai', 'website', 'blog', 'social', 'media', 'bahas', 'kurang', 'salah', 'ai', 'baru', 'brjadi', 'kalau', 'mau', 'henti', 'kembang', 'ai', 'tuju', 'agi', 'solusi', '2', 'cara', 'atas', 'baru', 'brgua', 'enggak', 'pernah', 'bahas', 'kesalahankesalahan', 'ai', 'gua', 'tau', 'kalau', 'gua', 'bahas', 'internet', 'ai', 'crawler', 'salah', 'sebut', 'jadi', 'bahan', 'latih', 'ai', 'wkwkwk']",0
csteveniburga8970,"['jangan', 'pernah', 'bangga', 'ngebahas', 'salah', 'ai', 'ingat', 'ai', 'enggak', 'asa', 'instruksi', 'owner', 'nya', 'cuma', 'improve', 'improve', 'improve', 'improve']",0
dennyfirmansyah2408,"['aseli', 'mula', 'ai', 'mata', 'banyak', 'kena', 'sisi', 'tajemnya', 'terlalu', 'andal', 'ai', 'mampu', 'sendiri', 'enggak', 'asah']",0
sancasnake,"['sepakat', 'sih', 'brsemenjak', 'lahir', 'ai', 'semenjak', 'awal', 'opini', 'quotai', 'mengggantikan', 'programmerquot', 'sedikit', 'sepakat', 'kalo', 'bikin', 'program', 'andal', 'ai', 'banyak', 'enggak', 'punya', 'pondasi', 'apa', 'alas', 'baris', 'kode', 'sebut', 'tulis', 'bralhasil', 'tengah', 'jalan', 'perlu', 'kembang', 'misal', 'jadi', 'rusa', 'orang', 'developer', 'laba', 'brsaya', 'member', 'programmer', 'tempat', 'kerja', 'larang', 'guna', 'ai', 'selesai', 'kerja', 'selalu', 'tekan', 'quottolong', 'manfaatin', 'dulu', 'otak', 'selesai', 'masalah', 'masalah', 'logic', 'biar', 'otak', 'enggak', 'beku', 'dikitdikit', 'aiquot']",0
